stop,degree,clusterring_coefficient,closeness,betwennesses,page_rank
Śliczna,8,0.3333333333333333,0.06535403256342294,0.04631395310793416,0.0013784955778534378
Borowska (Szpital),5,0.25,0.058433204685489876,0.010679520625150637,0.0007879676430485008
Działkowa,8,0.25,0.06185936492007742,0.04118559101761795,0.0013321997770399327
GAJ,6,0.3076923076923077,0.05869151251360174,0.029320003671574935,0.0011785690026820369
Przystankowa,4,0.0,0.05538441791811064,0.008507936094437384,0.0007794448925091859
Braterska,4,0.0,0.06257704299905735,0.009763659000683962,0.000726200355844826
Przyjaźni,10,0.2926829268292683,0.0665895061728395,0.012197882321013941,0.0012696913221682297
Sąsiedzka,4,0.0,0.05912983898595409,0.007789627416862997,0.0008769795468859972
Brochowska,4,0.0,0.045176150342878085,0.002317497103128621,0.0012698114458524182
KSIĘŻE WIELKIE,2,0.0,0.04322564487853744,0.0,0.0007132809755983891
Sosnowiecka,4,0.0,0.047305815929397574,0.0046296171828161085,0.0011527329540768855
Brodzka,8,0.02,0.04807531613837669,0.05530901340836067,0.002034063957900676
Jędrzejowska,4,0.0,0.0465354543003505,0.03843671720299008,0.0010541430878958917
Kozia,4,0.0,0.045909139270135124,0.0021707491717143476,0.0011010761072583418
Królewiecka (Staw),2,0.5,0.045874973421220495,0.025102579856283332,0.0006058497021650052
Lubelska,4,0.0,0.045904255319148934,0.0113993345037321,0.0010543518739142032
Pola,4,0.0,0.06637950926851781,0.04456193644664038,0.0009066357251366527
Trzebnicka,6,0.0,0.06751153876241883,0.004040423819291851,0.0013262893703690382
Zakładowa,4,0.0,0.06642038020472563,0.0028066164614832033,0.0008658810925603806
Brzezia Łąka - Wrocławska,4,0.0,0.03687403862587592,0.015338093791419883,0.0016943141173725008
Brzezia Łąka - cmentarz,4,0.0,0.03821458619315414,0.01739838993994761,0.001432688674366067
Brzezia Łąka-skrzy.Orzechowa,3,0.0,0.03556709528519617,0.006603612105113639,0.0008936946109944235
