source,target,night_tram,night_bus,d .875
Brzezia Łąka Główna,Brzezia Łąka-skrzy.Sportowa,,2.75,1.125,,2.75,1.125
Brzezia Łąka Główna pętla,Brzezia Łąka Główna,,2.75,1.125,,2.75,1.125
Brzezia Łąka-skrzy.Orzechowa,Brzezia Łąka - skrzy. Główna,,2.75,10.75,,2.75,10.75
Brzezia Łąka-skrzy.Orzechowa,Brzezia Łąka Główna,,2.75,1.125,,2.75,1.125
Brzezia Łąka-skrzy.Sportowa,Brzezia Łąka - Wrocławska,,5.5,11.875,,5.5,11.875
Brzezina - Kościół,BRZEZINA (pętla),,12.125,33.625,,12.125,33.625
Brzezina - Kościół,Brzezina - ul. Chrobrego,,2.75,8.25,,2.75,8.25
Brzezina - Kościół,Brzezinka Średzka - ul. Główna,,9.375,26.75,,9.375,26.75
Brzezina - ul. Chrobrego,Brzezina - Kościół,,2.75,8.25,,2.75,8.25
Brzezina - ul. Chrobrego,Brzezina Osiedle,,2.75,8.25,,2.75,8.25
Brzezina Osiedle,Brzezina - ul. Chrobrego,,2.75,8.25,,2.75,8.25
Brzezina Osiedle,Las Mokrzański,,2.75,8.25,,2.75,8.25
Brzezinka Średzka - PKP,Brzezinka Średzka - ul. Główna,,2.75,8.25,,2.75,8.25
Brzezinka Średzka - PKP,Gosławice - przejazd PKP,,,6.875,,0.0,6.875
Brzezinka Średzka - ul. Główna,Brzezina - Kościół,,9.375,25.375,,9.375,25.375
Brzezinka Średzka - ul. Główna,Brzezinka Średzka - ul. Parkowa,,2.75,8.25,,2.75,8.25
Brzezinka Średzka - ul. Główna,Pisarzowice - Kolejowa,,6.625,18.5,,6.625,18.5
Brzezinka Średzka - ul. Parkowa,Brzezinka Średzka - PKP,,5.5,13.75,,5.5,13.75
Brzezińska,Eluarda,,12.625,44.1875,,12.625,44.1875
Brzezińska,Owczarska,,10.5,42.8125,,10.5,42.8125
Brücknera,C.H. Korona,,206.375,621.625,,206.375,621.625
Brücknera,Grudziądzka,,165.875,371.8125,,165.875,371.8125
Brücknera,Kwidzyńska,,142.5,572.9375,,142.5,572.9375
Brücknera,Olsztyńska,,39.75,51.625,,39.75,51.625
Brücknera,Psie Pole,,70.75,262.4375,,70.75,262.4375
Budziwojowice,Łosice - plac zabaw,,2.75,15.75,,2.75,15.75
Budziwojowice,Łozina Cmentarz,,2.75,7.1875,,2.75,7.1875
Buforowa-Rondo,BARDZKA (Cmentarz),,82.25,312.75,,82.25,312.75
Buforowa-Rondo,Konduktorska,,77.25,229.875,,77.25,229.875
Buforowa-Rondo,ROD Zgoda,,14.25,88.125,,14.25,88.125
Bujwida,Kliniki,,3.875,,,3.875,0.0
Bujwida,Kochanowskiego,31.375,94.75,332.9375,170.6875,126.125,503.625
Bujwida,PL. GRUNWALDZKI,13.75,91.75,336.25,175.625,105.5,511.875
Bukowina,Bukowina - skrzy.,,3.25,12.75,,3.25,12.75
Bukowina,Pasikurowice - n/ż,,2.75,13.75,,2.75,13.75
Bukowina - skrzy.,Bukowina,,6.0,15.5,,6.0,15.5
Bukowina - skrzy.,Bąków,,8.75,18.25,,8.75,18.25
Bukowina - skrzy.,Domaszczyn -Trzebnicka,,2.75,14.375,,2.75,14.375
Bukowskiego,RACŁAWICKA,,63.5,185.0625,,63.5,185.0625
Bukowskiego,Stanki,,61.375,181.75,,61.375,181.75
Bulwar Dedala,Bystrzycka,,91.125,184.1875,,91.125,184.1875
Bulwar Dedala,Szybowcowa,,88.375,180.3125,,88.375,180.3125
Byków - Jaśminowa,Borowa - skrz.,,,4.125,,0.0,4.125
Byków - Ogrodowa,Byków - Jaśminowa,,,4.125,,0.0,4.125
Byków - Ogrodowa,Kamień Diamentowa,,,1.375,,0.0,1.375
Bystrzycka,Bulwar Dedala,,88.375,180.3125,,88.375,180.3125
Bystrzycka,Hynka,,138.5,413.1875,,138.5,413.1875
Bystrzycka,KUŹNIKI (Stacja kolejowa),,132.0,391.5,,132.0,391.5
