stop,lattitude,longitude,zip_code,district,day_weighted_degree
BLACHARSKA,51.08210113,16.98960253,53-206,Fabryczna,9.4375
RATYŃ,51.12975964,16.86048724,54-006,Fabryczna,8.9375
Łososiowicka,51.175305,16.88225,54-079,Fabryczna,8.5
Wilkszyńska,51.17354367,16.88667266,54-079,Fabryczna,8.5
Krzelowska,51.17746152,16.87860036,54-079,Fabryczna,8.5
JARNOŁTÓW,51.12141764,16.8439344,54-530,Fabryczna,7.875
Rodła,51.12479493,16.86353106,54-530,Fabryczna,6.5625
Las Mokrzański,51.17590617,16.83354894,54-000,Fabryczna,6.5
RĘDZIŃSKA,51.15738767,16.94887637,54-105,Fabryczna,6.375
Kwiatkowskiego (Rondo),51.07252597,16.95363941,52-407,Fabryczna,6.25
Samotworska,51.11824079,16.84750134,54-530,Fabryczna,6.25
Tyniecka,51.07218,16.958427,52-407,Fabryczna,6.25
TYNIECKA (pętla),51.07596159,16.95289375,52-407,Fabryczna,6.25
Gałowska,51.11323644,16.84509138,54-530,Fabryczna,6.25
Las Ratyński,51.12327482,16.83302337,54-007,Fabryczna,5.875
Krajobrazowa,51.12898034,16.83964368,50-001,Fabryczna,5.875
JANÓWEK (WOŚ),51.19115066,16.90616607,54-067,Fabryczna,5.5
Janówek,51.198083,16.90589197,54-067,Fabryczna,2.75
GRABISZYNEK,51.09066947,16.98893291,53-203,Fabryczna,1.625
Leśnica - Hermes,51.14609505,16.86569237,54-017,Fabryczna,1.375
Szkoła Żerniki,51.12140135,16.92506799,54-512,Fabryczna,0.25
