source,target,night_bus,day_bus,day_tram,night_tram,night,day
Buforowa-Rondo,ROD Zgoda,,10.0,,,,10.0
Bujwida,Kliniki,0.6666666666666666,,,,0.6666666666666666,
Bujwida,Kochanowskiego,5.0,28.22222222222222,14.11111111111111,,5.0,42.333333333333336
Bujwida,PL. GRUNWALDZKI,4.0,28.555555555555557,13.88888888888889,,4.0,42.44444444444444
Bukowina,Bukowina - skrzy.,,2.7222222222222223,,,,2.7222222222222223
Bukowina,Pasikurowice - n/ż,,1.2222222222222223,,,,1.2222222222222223
Bukowina - skrzy.,Bukowina,,3.0555555555555554,,,,3.0555555555555554
Bukowina - skrzy.,Bąków,,2.3333333333333335,,,,2.3333333333333335
Bukowina - skrzy.,Domaszczyn -Trzebnicka,,1.8333333333333333,,,,1.8333333333333333
Bukowskiego,RACŁAWICKA,3.3333333333333335,21.5,,,3.3333333333333335,21.5
Bukowskiego,Stanki,4.0,20.88888888888889,,,4.0,20.88888888888889
Bulwar Dedala,Bystrzycka,8.0,21.555555555555557,,,8.0,21.555555555555557
Bulwar Dedala,Szybowcowa,8.833333333333334,20.72222222222222,,,8.833333333333334,20.72222222222222
Byków - Jaśminowa,Borowa - skrz.,,0.3333333333333333,,,,0.3333333333333333
Byków - Ogrodowa,Byków - Jaśminowa,,0.3333333333333333,,,,0.3333333333333333
Byków - Ogrodowa,Kamień Diamentowa,,0.1111111111111111,,,,0.1111111111111111
Bystrzycka,Bulwar Dedala,8.833333333333334,20.72222222222222,,,8.833333333333334,20.72222222222222
Bystrzycka,Hynka,4.666666666666667,49.0,,,4.666666666666667,49.0
Bystrzycka,KUŹNIKI (Stacja kolejowa),4.0,47.111111111111114,,,4.0,47.111111111111114
Bzowa (Centrum Zajezdnia),Hutmen,6.833333333333333,27.444444444444443,58.333333333333336,,6.833333333333333,85.77777777777777
Bzowa (Centrum Zajezdnia),pl. Srebrny,7.333333333333333,27.833333333333332,58.55555555555556,,7.333333333333333,86.38888888888889
Bąków,Bukowina - skrzy.,,2.7222222222222223,,,,2.7222222222222223
Bąków,Łozina - Wrocławska (na wys. nr 18),,2.3333333333333335,,,,2.3333333333333335
Błonie,Wróblowice,,0.5555555555555556,,,,0.5555555555555556
Błonie,Źródła,,0.4444444444444444,,,,0.4444444444444444
C.H. Korona,Brücknera,14.666666666666666,68.83333333333333,,,14.666666666666666,68.83333333333333
C.H. Korona,C.H. Korona,10.0,49.72222222222222,,,10.0,49.72222222222222
C.H. Korona,Psie Pole,,12.61111111111111,,,,12.61111111111111
C.H. Korona,Zielna,6.666666666666667,50.333333333333336,,,6.666666666666667,50.333333333333336
Ceglana,Gospodarska,,6.944444444444445,,,,6.944444444444445
Ceglana,Kowalska,0.6666666666666666,5.277777777777778,,,0.6666666666666666,5.277777777777778
Ceglana,Kowalska I,,0.4444444444444444,,,,0.4444444444444444
Ceglana,Monopolowa,,0.6666666666666666,,,,0.6666666666666666
Ceglana,Volvo,,0.1111111111111111,,,,0.1111111111111111
Centrum Zarządzania Kryzysowego,Nowodworska,6.666666666666667,75.94444444444444,,,6.666666666666667,75.94444444444444
Centrum Zarządzania Kryzysowego,Otyńska,5.333333333333333,75.61111111111111,,,5.333333333333333,75.61111111111111
Cesarzowice skrz.,Jaszkotle - kościół,,0.7777777777777778,,,,0.7777777777777778
Cesarzowice skrz.,Mokronos Dolny - Parkowa/Stawowa,,0.7777777777777778,,,,0.7777777777777778
Chełmońskiego,Piramowicza,7.333333333333333,,60.888888888888886,,7.333333333333333,60.888888888888886
Chełmońskiego,Tramwajowa,7.333333333333333,,60.888888888888886,,7.333333333333333,60.888888888888886
Chińska,BROCHÓW,4.0,32.888888888888886,,,4.0,32.888888888888886
Chińska,BROCHÓW (Stacja kolejowa),4.0,22.0,,,4.0,22.0
Chińska,Semaforowa,,9.5,,,,9.5
Chociebuska,Hermanowska,4.0,24.944444444444443,,,4.0,24.944444444444443
Chociebuska,Nowy Dwór,8.0,45.666666666666664,,,8.0,45.666666666666664
Chociebuska,Nowy Dwór (Rogowska),4.833333333333333,21.166666666666668,,,4.833333333333333,21.166666666666668
Chopina,Karłowicza,,,44.666666666666664,,,44.666666666666664
Chopina,Kochanowskiego,,,44.77777777777778,,,44.77777777777778
Chwałkowska,Jędrzejowska,4.0,30.27777777777778,,,4.0,30.27777777777778
Chwałkowska,Wełniana,3.3333333333333335,31.055555555555557,,,3.3333333333333335,31.055555555555557
Chłodna,Sowia,8.666666666666666,19.444444444444443,,,8.666666666666666,19.444444444444443
Chłodna,Wawrzyniaka,7.333333333333333,20.333333333333332,,,7.333333333333333,20.333333333333332
Ciechocińska,Stabłowice,,14.222222222222221,,,,14.222222222222221
Ciechocińska,Wojanowska,3.3333333333333335,,,,3.3333333333333335,
Ciechocińska,Śnieżna,2.6666666666666665,14.222222222222221,,,2.6666666666666665,14.222222222222221
Cynamonowa,Tymiankowa,6.0,20.944444444444443,,,6.0,20.944444444444443
Cynamonowa,Waniliowa,6.0,20.944444444444443,,,6.0,20.944444444444443
Czajkowskiego,KOSZAROWA (Uniwersytet),,11.777777777777779,,,,11.777777777777779
Czajkowskiego,Koszarowa,1.5,19.166666666666668,,,1.5,19.166666666666668
Czajkowskiego,Kromera (Czajkowskiego),,25.944444444444443,,,,25.944444444444443
Czerna,Wilkostów,,0.3333333333333333,,,,0.3333333333333333
DH Astra,Kolista,,9.61111111111111,,,,9.61111111111111
DH Astra,Kwiska,3.6666666666666665,,74.55555555555556,,3.6666666666666665,74.55555555555556
DH Astra,Park Zachodni,3.0,10.11111111111111,74.55555555555556,,3.0,84.66666666666667
DW. ŚWIEBODZKI,Robotnicza,6.666666666666667,10.11111111111111,,,6.666666666666667,10.11111111111111
DW. ŚWIEBODZKI,pl. Orląt Lwowskich,5.333333333333333,36.888888888888886,,,5.333333333333333,36.888888888888886
DWORCOWA,Dworzec Główny (Stawowa),,23.22222222222222,,,,23.22222222222222
DWORCOWA,Kościuszki,,14.722222222222221,,,,14.722222222222221
DWORCOWA,Krasińskiego,,43.44444444444444,,,,43.44444444444444
DWORCOWA,Wzgórze Partyzantów,,27.11111111111111,,,,27.11111111111111
DWORZEC AUTOBUSOWY,Borowska,,10.777777777777779,,,,10.777777777777779
DWORZEC AUTOBUSOWY,DWORZEC AUTOBUSOWY,14.0,29.0,,,14.0,29.0
DWORZEC AUTOBUSOWY,DWORZEC GŁÓWNY,56.5,80.66666666666667,80.11111111111111,,56.5,160.77777777777777
DWORZEC AUTOBUSOWY,Dyrekcyjna,71.66666666666667,42.333333333333336,,,71.66666666666667,42.333333333333336
DWORZEC AUTOBUSOWY,EPI,31.333333333333332,26.444444444444443,,,31.333333333333332,26.444444444444443
DWORZEC AUTOBUSOWY,Hubska (Dawida),,26.833333333333332,,,,26.833333333333332
DWORZEC AUTOBUSOWY,Joannitów,,,45.333333333333336,,,45.333333333333336
DWORZEC AUTOBUSOWY,PETRUSEWICZA,,15.555555555555555,,,,15.555555555555555
DWORZEC AUTOBUSOWY,Sanocka,,,34.77777777777778,,,34.77777777777778
DWORZEC GŁÓWNY,Arkady (Capitol),17.333333333333332,,,,17.333333333333332,
DWORZEC GŁÓWNY,DWORCOWA,,21.333333333333332,,,,21.333333333333332
DWORZEC GŁÓWNY,DWORZEC AUTOBUSOWY,43.666666666666664,19.666666666666668,80.11111111111111,,43.666666666666664,99.77777777777777
DWORZEC GŁÓWNY,DWORZEC GŁÓWNY,39.666666666666664,,80.11111111111111,,39.666666666666664,80.11111111111111
DWORZEC GŁÓWNY,Dworzec Główny (Stawowa),,14.5,,,,14.5
DWORZEC GŁÓWNY,EPI,0.6666666666666666,,,,0.6666666666666666,
DWORZEC GŁÓWNY,GALERIA DOMINIKAŃSKA,,27.0,,,,27.0
DWORZEC GŁÓWNY,Kościuszki,5.333333333333333,,,,5.333333333333333,
DWORZEC GŁÓWNY,Pułaskiego,,,0.5555555555555556,,,0.5555555555555556
DWORZEC GŁÓWNY,Wzgórze Partyzantów,39.833333333333336,14.333333333333334,79.55555555555556,,39.833333333333336,93.88888888888889
DWORZEC NADODRZE,DWORZEC NADODRZE,1.3333333333333333,,77.38888888888889,,1.3333333333333333,77.38888888888889
DWORZEC NADODRZE,PL. STASZICA,,10.11111111111111,17.666666666666668,,,27.77777777777778
DWORZEC NADODRZE,Paulińska,10.0,15.722222222222221,31.333333333333332,,10.0,47.05555555555556
DWORZEC NADODRZE,Słowiańska,4.666666666666667,,34.22222222222222,,4.666666666666667,34.22222222222222
DWORZEC NADODRZE,Trzebnicka,9.0,39.55555555555556,46.388888888888886,,9.0,85.94444444444444
Damrota,KROMERA,7.5,38.77777777777778,,,7.5,38.77777777777778
Daszyńskiego,Mosty Warszawskie,6.0,0.2222222222222222,45.77777777777778,,6.0,46.0
Daszyńskiego,Nowowiejska,6.666666666666667,,45.77777777777778,,6.666666666666667,45.77777777777778
Dmowskiego,Długa,,11.777777777777779,,,,11.777777777777779
Dmowskiego,PL. JANA PAWŁA II,4.666666666666667,17.944444444444443,29.444444444444443,,4.666666666666667,47.388888888888886
Dmowskiego,Pomorska,5.0,29.38888888888889,43.22222222222222,,5.0,72.61111111111111
Dobroszycka,Bierutowska,,6.722222222222222,,,,6.722222222222222
Dobroszycka,PSIE POLE (Stacja kolejowa),,11.0,,,,11.0
Dobroszów Oleśnicki,Dobroszów-skrzy. Węgierska,,1.2222222222222223,,,,1.2222222222222223
Dobroszów Oleśnicki,Januszkowice - Wrocławska,,1.6666666666666667,,,,1.6666666666666667
Dobroszów-skrzy. Węgierska,Dobroszów Oleśnicki,,1.6666666666666667,,,,1.6666666666666667
Dobroszów-skrzy. Węgierska,Dąbrowica,,1.2222222222222223,,,,1.2222222222222223
Dolnobrzeska,Mokra,,5.0,,,,5.0
Dolnobrzeska,Owczarska,,5.055555555555555,,,,5.055555555555555
Dolnośląska Szkoła Wyższa,Fabryczna,6.666666666666667,75.94444444444444,,,6.666666666666667,75.94444444444444
Dolnośląska Szkoła Wyższa,Wrocławski Park Przemysłowy,5.333333333333333,75.61111111111111,,,5.333333333333333,75.61111111111111
Domaszczyn - skrzy.,Domaszczyn -Trzebnicka,,1.7777777777777777,,,,1.7777777777777777
Domaszczyn - skrzy.,Domaszczyn Stawowa,,1.2777777777777777,,,,1.2777777777777777
Domaszczyn - skrzy.,Pruszowice - las,,0.5555555555555556,,,,0.5555555555555556
Domaszczyn -Trzebnicka,Bukowina - skrzy.,,1.7777777777777777,,,,1.7777777777777777
