stop,lattitude,longitude,zip_code,district
Malinowskiego,51.062346999999995,17.055188,52-131,Krzyki
PORT LOTNICZY,51.10935597,16.88238906,54-530,Fabryczna
Długołęka-Parkowa skrzy. Konopnicka,51.182839,17.188943,55-095,Długołęka
Szczodre-Trzebnicka (na wys. nr 3a),51.185657,17.186179,55-095,Szczodre
Biskupice Podgórne Dongseo/Dong Yang,51.020778,16.896296,55-040,
Biskupice Podgórne LG Chem Energy I,51.017233000000004,16.880546,55-040,Biskupice Podgórne
Wapienna,51.086867,17.042927,50-545,Krzyki
Grzybowa,51.15895,16.853214,54-020,Fabryczna
POPOWICE (Stacja kolejowa),51.125678,17.001904,53-633,Stare Miasto
Ścinawska,51.118848,17.007613,53-631,Stare Miasto
Komuny Paryskiej (szkoła),51.10257931,17.04464708,50-400,Krzyki
Maślicka (Staw),51.156132,16.935817999999998,54-104,Fabryczna
Cesarzowice skrz.,51.062599,16.923579999999998,55-080,Cesarzowice
Krzeptowska,51.12029561,16.85582887,54-530,Fabryczna
Widna,51.08626997,17.04487696,50-547,Krzyki
Buforowa-Rondo,51.07045608,17.053957500000003,52-231,Krzyki
Jagodzińska,51.05871295,17.05649988,52-129,Krzyki
Vivaldiego,51.04942078,17.05944212,52-131,Krzyki
Arachidowa,51.15451186,16.89774018,54-063,Fabryczna
Aleja Architektów,51.13892608,16.92885963,54-115,Fabryczna
Olbrachtowska,51.152698,16.904995,54-063,Fabryczna
Stoszowska,51.15141838,16.91095644,54-060,Fabryczna
Pęgowska,51.196290999999995,16.978707,51-180,Psie Pole
Zajączkowska,51.189116,16.978889000000002,51-180,Psie Pole
Kominiarska,51.169905,16.997678,51-180,Psie Pole
Lutynia Centrum,51.135008,16.7834535,55-330,Lutynia
Księginice ul. Sportowa,51.239133,16.761698000000003,55-330,Księginice
Brzezina - ul. Chrobrego,51.201454999999996,16.834967300000002,55-330,Brzezina
Ferma - stadnina koni,51.1180276,16.8253587,55,
Gałów Przedszkole,51.111809,16.816682,55-330,Gałów
Brzezinka Średzka - ul. Główna,51.2158882,16.836902,55-330,Brzezinka Średzka
Gałów przy posesji nr 2,51.111877,16.816708,55-330,Gałów
Lutynia Osiedle ul. Wschodnia,51.138206,16.796254,55-330,Lutynia
Wróblowice Innowacyjna,51.153127000000005,16.814639,55-330,Krępice
Głoska - ul. Średzka,51.239885,16.721478,55-330,Głoska
Lenartowice przy posesji nr 11a,51.243971,16.799701000000002,55-330,Lenartowice
Prężyce przy posesji nr 22,51.238238,16.818722,55-330,Prężyce
Gosławice - przejazd PKP,51.223759,16.826119,55-330,Gosławice
Kiełczów - Akacjowa,51.138366,17.193305,55-093,Kiełczów
Awicenny (Stacja kolejowa),51.091423,16.950515,54-611,Fabryczna
Brzezinka Średzka - ul. Parkowa,51.216198,16.825134,55-330,Brzezinka Średzka
Dolnośląska Szkoła Wyższa,51.112237,16.989922,53-609,Fabryczna
Szymanów (Widawska),51.190942,17.027836999999998,51-180,Szymanów
Zagłębiowska,51.07275516,17.08914075,52-013,Krzyki
Brochowska,51.06901248,17.09480413,52-014,Krzyki
BRZEZINA (pętla),51.2031854,16.826457,55-330,Brzezina
Uniwersytet Wrocławski,51.113719,17.03226,50-115,Stare Miasto
Kiełczówek - Sielska Zagroda,51.12373472,17.17532225,51-311,Kiełczówek
Długołęka - Broniewskiego (na wys. nr 11),51.176577,17.191492,55-095,Długołęka
Kamień - skrzy. Rubinowa,51.164214,17.218428,55-095,Kamień
Kamień - skrzy. Diamentowa,51.166527,17.219976000000003,55-095,Kamień
Kamień - skrzy. Kryształowa,51.163556,17.215341,55-095,Kamień
Dobroszów-skrzy. Węgierska,51.212527,17.226101,55-095,Dobroszów Oleśnicki
Trestno - świetlica,51.081634,17.145597,50-458,Blizanowice
Trestno - kościół,51.080184,17.144953,50-458,Wrocław
Strzegomska (Muzeum Współczesne),51.112458000000004,17.005204,53-680,Stare Miasto
Księska,51.07639388,17.09019786,52-020,Krzyki
Mokry Dwór - Starodworska,51.072222,17.116998000000002,55-010,Mokry Dwór
Iwiny - rondo,51.044606,17.060845999999998,52-116,Iwiny
Iwiny - Kościuszki 21,51.04100036,17.07472229,52-116,Iwiny
Berenta,51.134583,17.059260000000002,51-160,Psie Pole
Samotwór - Leśna,51.10296644,16.83125716,54-433,Samotwór
